id,name_display,gif_url,body_part_raw,equipment_raw,target_raw,name_norm,body_part_group,equipment_group,target_group,movement_pattern,exercise_type,compound,unilateral,experience_min,skill_score,fatigue_score,time_per_set_sec,rest_time_sec,warmup_time_sec,default_sets_beginner,default_sets_intermediate,default_sets_advanced,default_reps_beginner,default_reps_intermediate,default_reps_advanced,estimated_total_time_beginner_sec
638,one arm chin-up,https://v2.exercisedb.io/image/2Bl1W8ECngAZI9,back,body weight,lats,one_arm_chin_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
639,one arm dip,https://v2.exercisedb.io/image/viX-yxPwMcbSGf,upper arms,body weight,triceps,one_arm_dip,upper_arms,bodyweight,upper_arms,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
640,one arm slam (with medicine ball),https://v2.exercisedb.io/image/6GulmnTFiQOwtd,waist,medicine ball,abs,one_arm_slam_with_medicine_ball,waist,medicine ball,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
1773,one arm towel row,https://v2.exercisedb.io/image/Teoo2pdV2E4HAd,back,body weight,upper back,one_arm_towel_row,back,bodyweight,upper back,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
1386,one leg donkey calf raise,https://v2.exercisedb.io/image/KXn1dVSogo3uBn,lower legs,body weight,calves,one_leg_donkey_calf_raise,lower legs,bodyweight,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1387,one leg floor calf raise,https://v2.exercisedb.io/image/6KhkkrIyjBPRoq,lower legs,body weight,calves,one_leg_floor_calf_raise,lower legs,bodyweight,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1476,one leg squat,https://v2.exercisedb.io/image/Mkk7qcX1gWiBtj,upper legs,body weight,glutes,one_leg_squat,upper_legs,bodyweight,upper_legs,lower_body,strength,TRUE,FALSE,beginner,4,9,40,90,180,3,4,5,08-12,06-10,04-08,570
641,otis up,https://v2.exercisedb.io/image/UkzHjwTPULaqPZ,waist,weighted,abs,otis_up,waist,weighted,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
642,outside leg kick push-up,https://v2.exercisedb.io/image/goh34SaBz0KNIy,upper legs,body weight,glutes,outside_leg_kick_push_up,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
643,overhead triceps stretch,https://v2.exercisedb.io/image/wciUVdb-vnRBDh,upper arms,body weight,triceps,overhead_triceps_stretch,upper_arms,bodyweight,upper_arms,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3147,pelvic tilt,https://v2.exercisedb.io/image/KgVMvOCbk8EaWo,waist,body weight,abs,pelvic_tilt,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
1422,pelvic tilt into bridge,https://v2.exercisedb.io/image/pBaLSchG0IgUcb,upper legs,body weight,glutes,pelvic_tilt_into_bridge,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1388,peroneals stretch,https://v2.exercisedb.io/image/UzCDf3mYdUow4M,lower legs,rope,calves,peroneals_stretch,lower legs,rope,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3662,pike-to-cobra push-up,https://v2.exercisedb.io/image/o7BFXhNpLqbYyH,upper legs,body weight,glutes,pike_to_cobra_push_up,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1306,plyo push up,https://v2.exercisedb.io/image/jvzoBmyMNRDfy6,chest,body weight,pectorals,plyo_push_up,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1687,posterior step to overhead reach,https://v2.exercisedb.io/image/f8R1kAESHiGyOZ,waist,body weight,abs,posterior_step_to_overhead_reach,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
1389,posterior tibialis stretch,https://v2.exercisedb.io/image/hW5fPo6hJmz88R,lower legs,rope,calves,posterior_tibialis_stretch,lower legs,rope,upper_legs,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3119,potty squat,https://v2.exercisedb.io/image/0vBtOTvrVmNKfc,waist,body weight,abs,potty_squat,waist,bodyweight,waist,core,core,TRUE,FALSE,beginner,4,9,40,30,60,2,3,3,10-15,10-20,12-25,200
3132,potty squat with support,https://v2.exercisedb.io/image/Mf-kmvgwkr-l0Z,upper legs,body weight,glutes,potty_squat_with_support,upper_legs,bodyweight,upper_legs,lower_body,strength,TRUE,FALSE,beginner,4,9,40,90,180,3,4,5,08-12,06-10,04-08,570
648,power clean,https://v2.exercisedb.io/image/B5XSJ9LGSfpPs3,upper legs,barbell,hamstrings,power_clean,upper_legs,barbell,upper_legs,lower_body,strength,FALSE,FALSE,advanced,9,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3665,power point plank,https://v2.exercisedb.io/image/GJL9nN76ce3g3a,waist,body weight,abs,power_point_plank,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
3203,prisoner half sit-up (male),https://v2.exercisedb.io/image/b1eGzidmNpbjBp,waist,body weight,abs,prisoner_half_sit_up_male,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
